"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00155",6.14490309606283,6.33907052638207,7.18740259560063,6.12512169385947,6.15109069802849,7.3600640342587,7.26785038841576,6.29308402738804,6.20122686257144,5.90592710759439,5.78285567111835,6.54870227545163,6.03599907057069,6.00353343561521,6.22371144984138,5.91551610504453,6.05944009405355,6.1439864576181
"USA300HOU_RS00160",11.8133918787001,11.8735119575198,7.69639113845384,11.8882925472993,11.8000023284318,7.64604972998904,7.77642807639216,11.847339653559,11.8499561612118,12.3723720103216,12.3875287774013,9.08548176099086,12.2990139607109,12.2587765272377,9.31695287613152,12.1750366549658,9.38407841204274,12.1603091779258
"USA300HOU_RS00165",9.905766733655,9.89580224513778,7.53104955448071,9.88675647897719,9.62040898398127,7.78451680848495,7.68190256352399,9.97791204582947,9.61662441395593,10.2493298614729,10.2339053146565,8.26209959379966,10.1839248791001,10.1937645270487,8.48933386411772,10.0396697389947,8.36951526741182,10.1563243951981
"USA300HOU_RS00170",8.00868350534527,8.28059216759282,5.93254821484103,8.1338537707016,8.07271436295833,6.05808721980406,5.94109235685581,8.20794985328344,8.0124179916134,8.77959315175229,8.99123502715386,6.88670951110075,8.7593919978568,8.59031662533424,7.16816753220916,8.68635052235779,7.1523946514075,8.85434036560402
"USA300HOU_RS00195",3.0240100443961,3.61977847347904,3.43882189631075,3.27595120287903,3.12749481534485,3.37303618848432,3.56179496338604,3.43996482994062,3.41185856264033,4.51629039004467,4.58681534973781,4.12693343189315,4.24880712761709,4.32340109412182,4.64542920736269,4.17550323138788,4.22982258201883,4.51347182064063
"USA300HOU_RS00205",2.95975448112115,3.04781847901822,2.93104103386462,3.02293464599465,3.27512010938067,2.90684696964893,2.89553303244212,2.76785325846226,3.0362519198645,3.5053366135255,3.66363072296092,3.19457486762422,3.46398769938283,3.49224386087747,3.49445464671168,3.41495772221681,3.31432272017636,3.58076170548618
"USA300HOU_RS00215",5.84811973993984,5.98818546158908,5.46586008500538,5.85188279751353,5.58413428875634,5.81582126334474,5.86729142301077,5.71417131057483,5.51958579728167,5.79439158716681,5.77182805016321,5.72138528037361,5.99068499043012,6.12699129005858,5.63987209577152,5.70389091063325,5.62573976088465,5.58490871440016
"USA300HOU_RS00220",7.20219457762035,7.1913611817252,7.31342835392111,7.35581031268532,7.02778797789623,7.25730744659892,7.30016402231948,7.33705005746815,7.08569117711822,7.83072579321996,7.89491478945447,7.48653176702011,7.87750836008096,7.91774705249441,7.68914730512419,7.73198236088312,7.68977132011812,7.68142253786268
"USA300HOU_RS00235",2.02344309041913,2.20317094026522,1.23526104967035,2.52327513552579,1.64516411242448,0.70331640415322,1.61195508928154,2.05488704834577,1.94786333409937,4.14644189091227,4.49340887957294,3.58998848083504,4.22428527046158,4.19677685864047,4.16678293811288,4.05297027115079,4.36953639941095,3.78861248840317
"USA300HOU_RS00240",8.8139122116087,8.88034849841273,8.93187141056095,8.84308788031406,8.78799135259505,8.92782823855749,8.93178265285395,8.90848110535951,8.82864046454798,7.98759066789432,8.03616248477034,8.34998016222052,8.03811594118603,8.01341751000617,8.32708638521859,7.90318696428265,8.03507487952512,8.23670743701814
"USA300HOU_RS00245",5.12555076098549,5.20029940192044,5.13720742008395,5.25288147507884,5.04588146701726,5.28615532519898,5.28944570621158,5.11383712289211,4.89930760935778,5.7162524820429,5.86465211065685,5.71547979144639,5.76570090565061,5.82485995604755,5.96303492738774,5.62958175172454,5.90978103609599,5.60851466481261
